,0,1,2,3,4,5
0,time,open,high,low,close,volume
73,2021-11-30 15:00:00,3511.11,3513.0,3499.44,3506.93,100894
74,2021-11-30 14:45:00,3517.0,3520.29,3507.3001,3511.11,55396
75,2021-11-30 14:30:00,3517.14,3524.29,3511.5,3518.13,62804
76,2021-11-30 14:15:00,3520.765,3521.86,3510.75,3516.8121,77383
77,2021-11-30 14:00:00,3508.39,3520.99,3506.65,3520.99,62840
78,2021-11-30 13:45:00,3500.21,3515.38,3500.21,3507.21,101671
79,2021-11-30 13:30:00,3503.105,3507.64,3499.24,3501.8205,85082
80,2021-11-30 13:15:00,3506.83,3511.2176,3501.26,3503.09,59727
81,2021-11-30 13:00:00,3508.01,3514.53,3503.04,3504.15,63297
82,2021-11-30 12:45:00,3505.09,3508.76,3501.23,3506.79,71160
83,2021-11-30 12:30:00,3499.215,3510.2899,3497.225,3505.11,100643
84,2021-11-30 12:15:00,3514.75,3514.75,3492.01,3497.5473,158756
85,2021-11-30 12:00:00,3521.99,3522.457,3510.35,3516.27,120217
86,2021-11-30 11:45:00,3518.29,3528.07,3513.0,3520.285,94465
87,2021-11-30 11:30:00,3530.66,3534.0,3515.88,3521.54,139910
88,2021-11-30 11:15:00,3509.13,3531.99,3506.45,3531.0,181860
89,2021-11-30 11:00:00,3555.15,3555.8699,3509.14,3510.185,228483
90,2021-11-30 10:45:00,3568.98,3571.11,3548.0,3556.1,135230
91,2021-11-30 10:30:00,3574.03,3579.5399,3558.279,3566.5594,135762
92,2021-11-30 10:15:00,3568.88,3585.77,3568.88,3573.17,157328
93,2021-11-30 10:00:00,3572.46,3579.0,3561.52,3570.43,125761
94,2021-11-30 09:45:00,3563.5,3583.99,3557.05,3570.4,228382
95,2021-11-30 09:30:00,3576.0,3577.0,3563.01,3565.0,5852
96,2021-11-30 09:15:00,3577.77,3577.77,3572.0,3574.47,5634
97,2021-11-30 09:00:00,3564.62,3570.0,3564.62,3570.0,1344
98,2021-11-30 08:45:00,3559.88,3560.0,3559.88,3560.0,934
99,2021-11-30 08:30:00,3556.0001,3560.0,3556.0001,3560.0,66346
100,2021-11-30 08:15:00,3561.57,3561.57,3552.667,3557.38,3667
101,2021-11-30 07:45:00,3567.9,3567.9,3562.11,3562.11,1357
102,2021-11-30 07:30:00,3561.57,3561.57,3561.57,3561.57,297
103,2021-11-30 07:15:00,3554.38,3559.75,3554.38,3559.75,2328
104,2021-11-30 06:15:00,3551.54,3551.54,3551.54,3551.54,101
105,2021-11-30 04:15:00,3551.0,3551.0,3551.0,3551.0,276
106,2021-11-29 19:30:00,3565.15,3565.15,3565.15,3565.15,104
107,2021-11-29 19:15:00,3570.0,3570.0,3570.0,3570.0,126
108,2021-11-29 19:00:00,3568.0,3568.0,3568.0,3568.0,166
109,2021-11-29 18:15:00,3566.0,3566.0,3566.0,3566.0,141
110,2021-11-29 17:30:00,3563.7,3563.75,3563.55,3563.75,564
111,2021-11-29 17:15:00,3563.2941,3563.2941,3563.2941,3563.2941,221
112,2021-11-29 17:00:00,3564.0,3564.5,3564.0,3564.5,829
113,2021-11-29 16:45:00,3562.95,3564.0,3561.57,3564.0,34662
114,2021-11-29 16:30:00,3563.5,3563.5,3560.52,3563.0,719
115,2021-11-29 16:15:00,3561.57,3561.57,3560.83,3561.43,39002
116,2021-11-29 16:00:00,3574.78,3577.065,3558.3,3560.68,205188
117,2021-11-29 15:45:00,3573.42,3580.38,3569.45,3575.67,269708
118,2021-11-29 15:30:00,3584.78,3586.08,3570.9901,3574.73,78626
119,2021-11-29 15:15:00,3579.82,3586.12,3578.72,3584.915,57579
120,2021-11-29 15:00:00,3570.32,3580.04,3568.6,3580.04,69530
121,2021-11-29 14:45:00,3575.69,3578.42,3566.4,3570.9825,74388
122,2021-11-29 14:30:00,3578.7,3581.0,3573.15,3575.43,64671
123,2021-11-29 14:15:00,3589.13,3591.23,3576.91,3578.0905,80884
124,2021-11-29 14:00:00,3593.42,3594.355,3586.835,3588.91,55750
125,2021-11-29 13:45:00,3594.19,3596.0,3589.06,3593.03,55897
126,2021-11-29 13:30:00,3585.8633,3595.01,3583.0,3592.4601,72916
127,2021-11-29 13:15:00,3587.55,3589.9999,3583.33,3585.88,53851
128,2021-11-29 13:00:00,3588.52,3592.03,3583.33,3587.05,68558
129,2021-11-29 12:45:00,3586.51,3593.0,3585.37,3588.2963,86656
130,2021-11-29 12:30:00,3576.62,3589.395,3574.97,3586.28,93330
131,2021-11-29 12:15:00,3576.86,3579.08,3570.77,3576.39,76958
132,2021-11-29 12:00:00,3579.3999,3582.83,3574.7,3576.1829,90048
133,2021-11-29 11:45:00,3570.58,3579.79,3569.21,3577.95,69154
134,2021-11-29 11:30:00,3567.68,3575.57,3563.795,3568.865,66171
135,2021-11-29 11:15:00,3562.835,3569.0,3560.82,3566.95,61099
136,2021-11-29 11:00:00,3572.0,3573.7331,3559.02,3563.3075,97750
137,2021-11-29 10:45:00,3574.19,3581.0,3565.55,3572.61,133150
138,2021-11-29 10:30:00,3572.59,3579.38,3564.9674,3572.75,122017
139,2021-11-29 10:15:00,3565.0,3583.14,3545.0,3571.31,248592
140,2021-11-29 10:00:00,3546.86,3566.01,3535.0,3564.96,195733
141,2021-11-29 09:45:00,3547.6443,3561.04,3531.5001,3546.2301,363347
142,2021-11-29 09:30:00,3540.3,3544.0,3540.3,3544.0,5588
143,2021-11-29 09:15:00,3539.0,3539.0,3535.94,3538.0,4882
144,2021-11-29 09:00:00,3538.45,3539.0,3536.5,3538.45,1541
145,2021-11-29 08:45:00,3533.0,3535.0,3533.0,3535.0,1355
146,2021-11-29 08:30:00,3533.9,3534.99,3531.22,3532.92,1792
147,2021-11-29 08:15:00,3527.0,3534.0,3524.9999,3531.0,6756
148,2021-11-29 08:00:00,3527.0,3530.0,3527.0,3530.0,1876
149,2021-11-29 07:45:00,3525.0,3527.72,3525.0,3527.0,1996
150,2021-11-29 07:30:00,3525.5,3525.5,3525.5,3525.5,146
151,2021-11-29 07:15:00,3527.0,3531.6,3527.0,3531.6,1967
152,2021-11-29 05:15:00,3537.16,3537.16,3537.16,3537.16,483
153,2021-11-29 05:00:00,3542.0,3542.0,3542.0,3542.0,170
154,2021-11-29 04:30:00,3542.0,3542.0,3542.0,3542.0,387
155,2021-11-29 04:15:00,3539.85,3547.5,3539.85,3547.5,3141
156,2021-11-26 17:00:00,3503.0,3503.65,3502.0,3503.0,2440
157,2021-11-26 16:45:00,3503.0,3503.0,3502.75,3502.75,502
158,2021-11-26 13:15:00,3504.56,3504.56,3504.56,3504.56,173454
159,2021-11-26 13:00:00,3521.92,3523.92,3504.15,3505.39,351039
160,2021-11-26 12:45:00,3536.18,3541.9432,3520.0,3522.99,156742
161,2021-11-26 12:30:00,3525.0,3537.96,3523.83,3537.53,123185
162,2021-11-26 12:15:00,3531.79,3534.92,3520.26,3524.33,83117
163,2021-11-26 12:00:00,3535.0001,3537.69,3525.6,3530.68,73856
164,2021-11-26 11:45:00,3533.28,3540.17,3528.5,3536.915,123133
165,2021-11-26 11:30:00,3524.265,3534.82,3515.1,3533.7043,143646
166,2021-11-26 11:15:00,3531.11,3532.2533,3520.1,3522.99,134236
167,2021-11-26 11:00:00,3532.4587,3542.93,3527.77,3531.665,131353
168,2021-11-26 10:45:00,3551.21,3556.18,3525.92,3533.59,178500
169,2021-11-26 10:30:00,3552.755,3555.0,3540.23,3552.285,196022
170,2021-11-26 10:15:00,3588.92,3593.25,3553.0,3554.52,169346
171,2021-11-26 10:00:00,3561.855,3592.5858,3555.5424,3589.665,242862
172,2021-11-26 09:45:00,3602.095,3633.5,3558.0,3563.8,486183
173,2021-11-26 09:30:00,3615.0,3621.0,3603.16,3603.16,16380
174,2021-11-26 09:15:00,3592.0,3609.8,3591.99,3607.19,9237
175,2021-11-26 09:00:00,3589.0,3590.99,3588.89,3590.99,1743
176,2021-11-26 08:45:00,3590.0,3590.0,3586.0,3586.89,7078
177,2021-11-26 08:30:00,3575.0,3590.0,3574.5,3590.0,4955
178,2021-11-26 08:15:00,3585.0,3594.99,3566.1,3577.0,7240
179,2021-11-26 08:00:00,3572.0,3572.0,3569.9,3569.9,2141
180,2021-11-26 07:45:00,3572.65,3572.65,3565.02,3571.04,4117
181,2021-11-26 07:30:00,3584.98,3585.0,3581.0,3581.0,1885
182,2021-11-26 07:15:00,3570.0,3587.91,3570.0,3587.91,4611
183,2021-11-26 06:15:00,3560.0,3570.0,3560.0,3570.0,1411
184,2021-11-26 05:30:00,3560.0,3560.0,3560.0,3560.0,192
185,2021-11-26 05:00:00,3552.98,3552.98,3552.98,3552.98,178
186,2021-11-26 04:45:00,3555.0,3555.0,3549.65,3549.65,1017
187,2021-11-26 04:15:00,3560.0,3560.0,3554.13,3555.2,2645
188,2021-11-24 20:00:00,3584.12,3584.12,3578.0,3578.0,3185
189,2021-11-24 19:45:00,3584.1,3584.31,3584.1,3584.31,397
190,2021-11-24 19:00:00,3582.95,3583.0,3582.95,3583.0,578
191,2021-11-24 18:30:00,3582.0,3582.0,3582.0,3582.0,265
192,2021-11-24 18:00:00,3580.0,3580.0,3580.0,3580.0,112
193,2021-11-24 17:30:00,3579.5,3579.5,3579.5,3579.5,153
194,2021-11-24 16:45:00,3580.41,3580.41,3579.21,3579.21,377
195,2021-11-24 16:15:00,3580.41,3580.41,3579.12,3580.41,53059
196,2021-11-24 16:00:00,3580.01,3583.0,3575.21,3579.08,136114
197,2021-11-24 15:45:00,3579.19,3586.15,3575.06,3581.0,84865
198,2021-11-24 15:30:00,3577.4599,3586.59,3575.45,3578.4332,66361
199,2021-11-24 15:15:00,3573.45,3577.48,3568.0,3576.51,53167
200,2021-11-24 15:00:00,3574.82,3577.0,3572.0,3573.55,38347
201,2021-11-24 14:45:00,3567.68,3575.5,3565.0,3575.5,47999
202,2021-11-24 14:30:00,3567.35,3576.2063,3563.29,3566.595,59263
203,2021-11-24 14:15:00,3574.665,3584.79,3560.0001,3567.64,96750
204,2021-11-24 14:00:00,3583.04,3587.2,3573.76,3574.0,52765
205,2021-11-24 13:45:00,3592.95,3594.3463,3584.18,3584.18,45433
206,2021-11-24 13:30:00,3595.81,3598.0,3591.6033,3592.065,32545
207,2021-11-24 13:15:00,3597.33,3599.98,3592.185,3595.0,32860
208,2021-11-24 13:00:00,3597.9214,3599.81,3594.32,3595.585,28162
209,2021-11-24 12:45:00,3591.0,3599.36,3589.43,3596.63,37694
210,2021-11-24 12:30:00,3601.15,3601.4,3587.1942,3590.5,74835
211,2021-11-24 12:15:00,3601.71,3605.1562,3595.5,3600.6552,63468
212,2021-11-24 12:00:00,3599.5,3613.64,3597.55,3602.805,91350
213,2021-11-24 11:45:00,3601.85,3605.55,3594.73,3600.01,102223
214,2021-11-24 11:30:00,3580.0,3602.81,3578.7,3600.27,147616
215,2021-11-24 11:15:00,3572.0,3579.62,3563.69,3579.25,62412
216,2021-11-24 11:00:00,3567.24,3578.7799,3565.01,3571.97,70816
217,2021-11-24 10:45:00,3571.35,3577.9099,3563.0,3565.2001,127302
218,2021-11-24 10:30:00,3548.99,3572.78,3547.3157,3572.78,106163
219,2021-11-24 10:15:00,3554.63,3564.12,3541.51,3548.54,127787
220,2021-11-24 10:00:00,3552.56,3556.99,3536.85,3555.99,111743
221,2021-11-24 09:45:00,3562.67,3569.95,3543.1101,3549.4901,191845
222,2021-11-24 09:30:00,3560.0,3567.05,3560.0,3563.3,2016
223,2021-11-24 09:15:00,3565.8612,3565.8612,3560.49,3563.0,811
224,2021-11-24 09:00:00,3565.8,3565.8,3565.0,3565.0,930
225,2021-11-24 08:45:00,3576.46,3578.0,3571.8,3571.8,2138
226,2021-11-24 08:15:00,3565.01,3571.09,3564.03,3570.0,1653
227,2021-11-24 08:00:00,3567.0,3567.0,3564.01,3566.0,822
228,2021-11-24 07:45:00,3569.0,3569.0,3569.0,3569.0,285
229,2021-11-24 07:30:00,3570.02,3570.02,3570.02,3570.02,368
230,2021-11-24 07:15:00,3572.3,3575.0,3572.3,3575.0,556
231,2021-11-24 07:00:00,3575.01,3575.01,3575.01,3575.01,192
232,2021-11-23 19:15:00,3580.04,3580.04,3580.04,3580.04,315
233,2021-11-23 17:00:00,3580.04,3580.04,3580.04,3580.04,394
234,2021-11-23 16:30:00,3575.0,3575.0,3575.0,3575.0,717
235,2021-11-23 16:15:00,3580.04,3580.24,3577.0,3577.0,65518
236,2021-11-23 16:00:00,3580.65,3583.27,3572.88,3580.56,186950
237,2021-11-23 15:45:00,3580.98,3589.81,3576.776,3578.9,100785
238,2021-11-23 15:30:00,3588.45,3589.95,3573.06,3580.08,124931
239,2021-11-23 15:15:00,3579.4655,3588.8399,3567.485,3586.29,117168
